label,nmse_db,cdf
"Baseline 2: Optimal RU, fixed beams (0°/0°)",3.17066588612115,0.853264443872664
"Baseline 2: Optimal RU, fixed beams (0°/0°)",3.36788785002377,0.858801595679935
"Baseline 2: Optimal RU, fixed beams (0°/0°)",3.56510981392639,0.869108747670702
"Baseline 2: Optimal RU, fixed beams (0°/0°)",3.76233177782901,0.883238704119592
"Baseline 2: Optimal RU, fixed beams (0°/0°)",3.95955374173163,0.888733379426616
"Baseline 2: Optimal RU, fixed beams (0°/0°)",4.15677570563425,0.898996224514703
"Baseline 2: Optimal RU, fixed beams (0°/0°)",4.35399766953688,0.904912784011927
"Baseline 2: Optimal RU, fixed beams (0°/0°)",4.5512196334395,0.91125932446282
"Baseline 2: Optimal RU, fixed beams (0°/0°)",4.74844159734212,0.91215914500848
"Baseline 2: Optimal RU, fixed beams (0°/0°)",4.94566356124474,0.915975166587245
"Baseline 2: Optimal RU, fixed beams (0°/0°)",5.14288552514736,0.924161052232356
"Baseline 2: Optimal RU, fixed beams (0°/0°)",5.34010748904998,0.927766864200211
"Baseline 2: Optimal RU, fixed beams (0°/0°)",5.5373294529526,0.934086234926777
"Baseline 2: Optimal RU, fixed beams (0°/0°)",5.73455141685522,0.935124486785298
"Baseline 2: Optimal RU, fixed beams (0°/0°)",5.93177338075784,0.939627291774334
"Baseline 2: Optimal RU, fixed beams (0°/0°)",6.12899534466046,0.941640476944607
"Baseline 2: Optimal RU, fixed beams (0°/0°)",6.32621730856309,0.942917679026985
"Baseline 2: Optimal RU, fixed beams (0°/0°)",6.52343927246571,0.947593460225018
"Baseline 2: Optimal RU, fixed beams (0°/0°)",6.72066123636833,0.948206580924701
"Baseline 2: Optimal RU, fixed beams (0°/0°)",6.91788320027095,0.949045303339465
"Baseline 2: Optimal RU, fixed beams (0°/0°)",7.11510516417357,0.950842056296015
"Baseline 2: Optimal RU, fixed beams (0°/0°)",7.31232712807619,0.953254211522676
"Baseline 2: Optimal RU, fixed beams (0°/0°)",7.50954909197882,0.954270261613497
"Baseline 2: Optimal RU, fixed beams (0°/0°)",7.70677105588144,0.958941037927817
"Baseline 2: Optimal RU, fixed beams (0°/0°)",7.90399301978406,0.961346400906754
"Baseline 2: Optimal RU, fixed beams (0°/0°)",8.10121498368668,0.963744304760669
"Baseline 2: Optimal RU, fixed beams (0°/0°)",8.29843694758931,0.964937304590556
"Baseline 2: Optimal RU, fixed beams (0°/0°)",8.49565891149193,0.967461015363722
"Baseline 2: Optimal RU, fixed beams (0°/0°)",8.69288087539455,0.968438432685697
"Baseline 2: Optimal RU, fixed beams (0°/0°)",8.89010283929717,0.969087866707824
"Baseline 2: Optimal RU, fixed beams (0°/0°)",9.08732480319979,0.969557192903988
"Baseline 2: Optimal RU, fixed beams (0°/0°)",9.28454676710241,0.970026345100245
"Baseline 2: Optimal RU, fixed beams (0°/0°)",9.48176873100503,0.970463498896241
"Baseline 2: Optimal RU, fixed beams (0°/0°)",9.67899069490765,0.970900652692236
"Baseline 2: Optimal RU, fixed beams (0°/0°)",9.87621265881027,0.971563867542538
"Baseline 2: Optimal RU, fixed beams (0°/0°)",10.0734346227129,0.972910424420557
"Baseline 2: Optimal RU, fixed beams (0°/0°)",10.2706565866155,0.976235421240015
"Baseline 2: Optimal RU, fixed beams (0°/0°)",10.4678785505181,0.981886878481834
"Baseline 2: Optimal RU, fixed beams (0°/0°)",10.6651005144208,0.989676032298753
"Baseline 2: Optimal RU, fixed beams (0°/0°)",10.8623224783234,0.99417123154519
"Baseline 2: Optimal RU, fixed beams (0°/0°)",11.059544442226,0.996396596833724
"Baseline 2: Optimal RU, fixed beams (0°/0°)",11.2567664061286,0.998041375007032
